paintprogram	[0, 1.0, 0]
featur	[0, 0.3333333333333333, 0.6666666666666666]
dana	[1.0, 0, 0]
sarah	[0, 0, 1.0]
typo	[1.0, 0, 0]
juri	[1.0, 0, 0]
special	[0.2, 0.4, 0.4]
und	[1.0, 0, 0]
ramif	[1.0, 0, 0]
leibowitz	[1.0, 0, 0]
aminet	[0, 1.0, 0]
degrad	[0, 1.0, 0]
specif	[0.75, 0.25, 0]
success	[0.5, 0.5, 0]
approxim	[0.75, 0.25, 0]
kassadi	[0, 0, 1.0]
amber	[0, 1.0, 0]
assist	[0.3333333333333333, 0.6666666666666666, 0]
glitch	[0, 1.0, 0]
team	[0, 0, 1.0]
pc	[0, 0.3333333333333333, 0.6666666666666666]
idiom	[0, 0, 1.0]
pt	[0, 1.0, 0]
poorer	[0, 1.0, 0]
distribut	[0, 1.0, 0]
nutterbrink	[0, 1.0, 0]
mutat	[1.0, 0, 0]
dcview	[0, 1.0, 0]
influenc	[1.0, 0, 0]
andrei	[0, 0, 1.0]
chri	[0, 0.5, 0.5]
aesthet	[1.0, 0, 0]
robust	[0, 0.5, 0.5]
committ	[1.0, 0, 0]
kamandi	[0, 0, 1.0]
dixi	[0, 0, 1.0]
att	[1.0, 0, 0]
cannib	[1.0, 0, 0]
set	[0.23076923076923078, 0.3076923076923077, 0.46153846153846156]
edg	[0, 0.5, 0.5]
pal	[0, 1.0, 0]
rationalist	[1.0, 0, 0]
organis	[0, 1.0, 0]
domi	[0, 0, 1.0]
vers	[1.0, 0, 0]
anniversari	[0, 0, 1.0]
gzip	[0, 0.5, 0.5]
noth	[0.7142857142857143, 0.2857142857142857, 0]
meg	[0, 0, 1.0]
connect	[0.5, 0, 0.5]
adjust	[0, 0.5, 0.5]
dead	[0.6666666666666666, 0.3333333333333333, 0]
congress	[1.0, 0, 0]
binari	[0, 1.0, 0]
simpli	[1.0, 0, 0]
winjpeg	[0, 1.0, 0]
alt	[0.6666666666666666, 0.3333333333333333, 0]
agre	[0.5, 0.5, 0]
ultb	[1.0, 0, 0]
jumper	[0, 0, 1.0]
follow	[0.6666666666666666, 0.3333333333333333, 0]
bundl	[0, 0, 1.0]
asd	[1.0, 0, 0]
invas	[1.0, 0, 0]
imput	[1.0, 0, 0]
sheer	[0, 1.0, 0]
accomplish	[0, 0.5, 0.5]
pretend	[1.0, 0, 0]
laboratoir	[0, 1.0, 0]
edit	[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
havok	[0, 0, 1.0]
exu	[0, 1.0, 0]
rang	[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
delawar	[0, 0, 1.0]
pastim	[1.0, 0, 0]
storm	[0, 1.0, 0]
directli	[0.6, 0.2, 0.2]
unjust	[1.0, 0, 0]
canyon	[1.0, 0, 0]
wooden	[0, 0, 1.0]
expertis	[1.0, 0, 0]
adam	[0, 0, 1.0]
fit	[0.16666666666666666, 0.5, 0.3333333333333333]
count	[0.4, 0.6, 0]
